代號,名稱,外資買賣超,投信買賣超,三大法人買賣超
5351,鈺創,1171585,-35000,1205704
5353,台林,1000,0,1000
5355,佳總,-1999,0,-1045
5356,協益,-19000,0,-19000
5364,力麗店,-3000,0,-3000
5371,中光電,1600000,0,1770419
5386,青雲,-27000,0,-26781
5392,能率,383550,0,384073
5398,慕康生醫,-8000,0,-8003
5403,中菲,26000,0,26000
5410,國眾,32000,0,32674
5425,台半,-2579251,0,-2787678
5426,振發,201000,0,199000
5432,新門,10000,0,10206
5438,東友,33000,0,33000
5439,高技,1495968,-554000,1101800
5443,均豪,1812000,0,2178944
5450,南良,7000,0,6932
5452,佶優,52000,0,46432
5457,宣德,415000,-1000,417357
5460,同協,-9000,0,-9000
5464,霖宏,22000,0,22000
5465,富驊,67000,0,66859
5468,凱鈺,21000,0,21000
5474,聰泰,-36000,0,-36848
5475,德宏,-147543,75000,-72397
5478,智冠,8000,0,9076
5481,新華,-100999,0,-100999
5483,中美晶,1944973,-22665,2557206
5488,松普,9000,0,9000
5489,彩富,-6000,0,-6000
5490,同亨,158000,0,159211
5493,三聯,17000,0,17083
5498,凱崴,442000,0,453597
5508,永信建,64000,0,64035
5511,德昌,-1000,0,-1000
5512,力麒,-125000,0,-125000
5514,三豐,-1000,0,-1000
5516,雙喜,-1000,0,-1000
5520,力泰,1000,0,1000
5523,豐謙,-1000,0,-1000
5529,鉅陞,3000,0,3000
5530,龍巖,-12000,0,-3000
5536,聖暉*,-257503,-81924,-376932
5548,安倉,18000,0,18000
5603,陸海,2002,0,2002
5604,中連,3000,0,3000
5609,中菲行,-50000,0,-50000
5704,老爺知,5000,0,-5000
5864,致和證,-499138,0,-499138
5902,德記,-1000,0,-1000
5903,全家,-1000,0,3000
5904,寶雅,-51028,-7000,-58611
5905,南仁湖,143000,0,143681
6015,宏遠證,462000,0,462000
6016,康和證,2163000,0,2163000
6020,大展證,-1000,0,-1000
6021,美好證,-15000,0,-15000
6023,元大期,-78000,3000,-75000
6026,福邦證,952000,0,952000
6101,寬魚國際,5000,0,5000
6104,創惟,-156496,-6000,-160493
6109,亞元,19000,0,19231
6111,光聚晶電,103000,0,114548
6113,亞矽,2850,0,2850
6114,久威,-3000,0,-3000
6118,建達,63000,0,63000
6121,新普,108768,-12000,74892
6122,擎邦,-1000,0,-5132
6123,上奇,-1000,0,-1000
6124,業強,-2000,0,-1480
6125,廣運,227000,0,228643
6126,信音,288000,0,290821
6127,九豪,838001,0,925415
6129,普誠,45000,0,50232
6130,上亞科技,58000,0,58699
6134,萬旭,228000,0,198598
6138,茂達,11000,-8000,3370
6140,訊達,58000,0,57131
